date,season,week,game_type,tournament,home_team,away_team,away_score_raw,home_score_raw,result,HomeScore,AwayScore,HomeFirstAppearance,AwayFirstAppearance,HomeGamesBefore,AwayGamesBefore,HomeRating_Before,AwayRating_Before,HomeStartRating,AwayStartRating,ExpectedHome,ExpectedAway,KHome,KAway,HomeRating_After,AwayRating_After,HomeGamesAfter,AwayGamesAfter
1999-09-12,1999,1,REG,NFL Regular Season,PHI,ARI,25,24,ARI,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,STL,BAL,10,27,STL,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-12,1999,1,REG,NFL Regular Season,IND,BUF,14,31,IND,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-12,1999,1,REG,NFL Regular Season,NO,CAR,10,19,NO,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-12,1999,1,REG,NFL Regular Season,TEN,CIN,35,36,TEN,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-12,1999,1,REG,NFL Regular Season,WAS,DAL,41,35,DAL,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,SEA,DET,28,20,DET,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,CHI,KC,17,20,CHI,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-12,1999,1,REG,NFL Regular Season,ATL,MIN,17,14,MIN,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,NYJ,NE,30,28,NE,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,TB,NYG,17,13,NYG,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,GB,OAK,24,28,GB,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-12,1999,1,REG,NFL Regular Season,CLE,PIT,43,0,PIT,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
1999-09-12,1999,1,REG,NFL Regular Season,JAX,SF,3,41,JAX,1,0,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2610,2590,1,1
1999-09-13,1999,1,REG,NFL Regular Season,DEN,MIA,38,21,MIA,0,1,TRUE,TRUE,0,0,2600,2600,2600,2600,0.5,0.5,20,20,2590,2610,1,1
