Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN
Argentina,2767,1062,1902-07-20,2391.5,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Spain,2736,779,1920-08-28,2331.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
France,2693,931,1904-05-01,2385.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
England,2670,1086,1872-11-30,2490.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Brazil,2660,1055,1914-09-20,2350.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Colombia,2654,634,1938-02-10,2273,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Portugal,2652,691,1921-12-18,2326.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Netherlands,2627,875,1905-04-30,2382.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Germany,2625,1027,1908-04-05,2372.5,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Italy,2612,889,1910-05-15,2365.4,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Croatia,2605,392,1940-04-02,2265.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Uruguay,2587,966,1902-07-20,2391.5,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Japan,2584,787,1917-05-07,2342.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Belgium,2582,849,1904-05-01,2385.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Ecuador,2570,587,1938-08-08,2271.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Morocco,2568,612,1958-04-03,2205.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
South Korea,2566,1003,1949-01-02,2236.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Mexico,2553,997,1923-01-01,2323.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Denmark,2553,870,1908-10-22,2370.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
United States,2550,786,1885-11-28,2447,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Iran,2549,608,1941-08-23,2261.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Senegal,2546,634,1961-12-05,2193.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Switzerland,2546,880,1905-02-12,2383,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Basque Country,2530,58,1915-01-03,2350,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Turkey,2523,638,1923-10-26,2320.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Australia,2517,577,1922-06-17,2325.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Norway,2513,868,1908-07-12,2371.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Austria,2511,857,1902-10-12,2390.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Russia,2510,744,1910-10-16,2364,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Canada,2503,465,1885-11-28,2447,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Poland,2497,888,1921-12-18,2326.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Ukraine,2497,334,1928-08-19,2304.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Yugoslavia,2495,483,1920-08-28,2331.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Algeria,2492,613,1963-01-06,2190,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Czechoslovakia,2488,520,1903-04-05,2389.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Serbia,2483,344,1950-02-26,2232.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Paraguay,2482,780,1919-05-11,2335.5,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Uzbekistan,2471,350,1992-06-17,2091.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Chile,2466,831,1910-05-27,2365.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Scotland,2463,847,1872-11-30,2490.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Czech Republic,2460,356,1994-02-23,2086.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
German DR,2459,298,1952-05-18,2225.4,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Sweden,2450,1097,1908-07-12,2371.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Catalonia,2449,48,1912-02-10,2359.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Greece,2448,629,1919-06-25,2335.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Hungary,2448,1002,1902-10-12,2390.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Venezuela,2442,456,1938-02-12,2273,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Peru,2441,710,1927-11-01,2307.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Wales,2441,722,1876-03-25,2479.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Panama,2439,533,1938-02-12,2273,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Jersey,2432,235,1905-04-27,2382.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Egypt,2430,752,1920-08-28,2331.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Nigeria,2429,655,1949-10-08,2234.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Slovenia,2427,313,1991-06-19,2095.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Ivory Coast,2422,633,1960-04-14,2199.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Iraq,2415,651,1960-06-05,2198.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Slovakia,2407,363,1939-08-27,2267.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Costa Rica,2405,720,1921-09-14,2327.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Republic of Ireland,2405,628,1924-05-28,2318.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Tunisia,2400,674,1957-06-02,2208.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Jordan,2397,477,1963-01-06,2190,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Saudi Arabia,2394,736,1963-11-18,2187.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Romania,2389,762,1919-06-24,2335.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Andalusia,2385,13,1923-01-14,2323.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Cameroon,2380,614,1953-09-24,2220.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
United Arab Emirates,2369,612,1972-03-17,2159.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Jamaica,2369,658,1925-03-22,2315.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Mali,2368,567,1960-04-14,2199.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Albania,2366,394,1946-08-22,2244.5,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Georgia,2365,303,1979-07-22,2134.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
South Africa,2365,475,1924-09-24,2317.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Guernsey,2362,240,1905-04-17,2382.4,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
DR Congo,2360,520,1948-05-25,2238.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Qatar,2359,633,1970-03-27,2165.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Honduras,2357,618,1927-11-07,2307.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
New Zealand,2354,412,1922-06-17,2325.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Kosovo,2352,100,2006-04-22,2045.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Oman,2350,542,1966-04-03,2179.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Bolivia,2341,529,1926-10-12,2310.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Galicia,2340,10,1922-11-19,2323.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
